3216.33021783927	6507.890247318937	20073.69442040709
521086258	852015042	573211063
12066.142147198949	10066.073031923988	8579.305305346665
HOXMMJSJ6M	919SE85YRW	O3LVQC8E7M
DX231E64SE	6VU9WQVD8V	A2PLS2MMYY
5EVS0ZIZFZ	OFCTIQIGHB	CB9N7VDJPN
20248.95412993134	1880.8811160017037	5288.536310329274
853644472	687696895	890470664
KK4ICYJPKJ	2W69Z70PQR	BU9SDPVA63
USHYDYS0SO	K08GXWOUN3	O4EWO6YQMZ
8768.131500727712	23004.049646417807	5679.3017914084985
97804501	97862495	336817200
911681738	309735520	670845894
706741293	801451109	988530346
BDOZ8ZAGEU	ZFJRJM9W0N	SX3FBHXZXA
11634.2379989588	873.299050408655	127.03984307048874
26688.33275571375	10081.984879160967	1712.4047935069493
200621156	470238639	478125026
48UKW3IITE	NA3Y69I6CL	JK3JQ8FUMH
459443146	269623000	565047283
2507.9915601158987	5684.416183294664	27725.254485521156
UZB2RJ4F3V	CQYU03HHR7	DSURORWKP7
40906.45422603943	2153.9955664350027	4317.85611411544
953011343	798138136	926403729
1496.3751636620002	57043.48038922156	10542.44461461628
961937509	129731609	715212687
CABBTA9HO0	GHU65NEROO	VVKK7A0MYB
PWWTZ5PGF9	M1UN0ILZYE	0X96VXG2VY
4665.8904892248875	10563.784552449595	1433.7126562610354
716594917	616741422	491052737
